Name,F1 Score top 3,Accuracy top 3,Precision top 3,Recalltop 3
Clahe Default ,0.08568334579467773,0.1872211992740631,0.06372099369764328,0.1872211992740631
Sharpen ,0.06939969956874847,0.14359796047210693,0.05545079708099365,0.14359796047210693
Posterize,0.07953429967164993,0.14262422919273376,0.06667677313089371,0.14262422919273376
ColorJitter,0.0489291250705719,0.09271340817213058,0.036690473556518555,0.09271340817213058
Baseline – No Augment,0.05631181597709656,0.12917816638946533,0.049522317945957184,0.12917816638946533
ToSepia ,0.03698531165719032,0.09361016750335692,0.02803726866841316,0.09361016750335692
Solarize,0.04601017013192177,0.10456845909357072,0.0364394411444664,0.10456845909357072
ChannelShuffle,0.039580825716257095,0.10996466130018234,0.030819568783044815,0.10996466130018234
ToGray ,0.009759942069649696,0.04445154219865799,0.007531322538852692,0.04445154219865799
