Name,F1 Score,Accuracy,Precision,Recall
Clahe Default ,0.074338898062706,0.09587551653385162,0.07717562466859818,0.09587551653385162
Sharpen ,0.06278467178344727,0.08121797442436218,0.07200261205434799,0.08121797442436218
Posterize,0.06004248559474945,0.06996995210647583,0.06508822739124298,0.06996995210647583
ColorJitter,0.0419297032058239,0.042344704270362854,0.056899137794971466,0.042344704270362854
Baseline – No Augment,0.03533760830760002,0.05891763418912888,0.03840494528412819,0.05891763418912888
ToSepia ,0.02887977659702301,0.04217910021543503,0.02952093817293644,0.04217910021543503
Solarize,0.026327427476644516,0.028312087059020996,0.03547829017043114,0.028312087059020996
ChannelShuffle,0.02382436767220497,0.03823272138834,0.028035426512360573,0.03823272138834
ToGray ,0.00397019786760211,0.015569929033517838,0.0024392898194491863,0.015569929033517838
